step,totalVehicleNumber
10,4
20,9
30,15
40,17
50,21
60,24
70,25
80,25
90,25
100,26
110,30
120,35
130,36
140,34
150,37
160,33
170,33
180,29
190,29
200,27
210,24
220,30
230,35
240,34
250,39
260,34
270,33
280,33
290,35
300,31
310,30
320,25
330,27
340,35
350,29
360,28
370,25
380,22
390,25
400,26
410,26
420,26
430,31
440,33
450,36
460,35
470,33
480,31
490,36
500,32
510,33
520,38
530,41
540,40
550,36
560,42
570,43
580,44
590,45
600,41
610,37
620,34
630,33
640,30
650,23
660,20
670,16
680,16
690,15
700,13
710,13
720,13
730,13
740,13
750,13
760,13
770,13
780,13
790,11
800,10
810,5
820,4
